Constituency,Const. No.,Parliament Constituency,Leading Candidate,Trailing Candidate,Margin,Status,State ID,State ,Region
Ramtek,9,RAMTEK(9),Shyamkumar (Babalu) Daulat Barve,RAJU DEONATH PARVE,76768,Result Declared,S13,Maharashtra,West India
Shrawasti,58,SHRAWASTI(58),RAM SHIROMANI VERMA,SAKET MISRA,76673,Result Declared,S24,Uttar Pradesh,North India
Dhenkanal,9,DHENKANAL(9),RUDRA NARAYAN PANY,ABINASH SAMAL,76567,Result Declared,S18,Odisha,East India
Rajampet,24,RAJAMPET(24),P V MIDHUN REDDY,NALLARI KIRAN KUMAR REDDY,76071,Result Declared,S01,Andhra Pradesh,South India
Alipurduars,2,ALIPURDUARS(2),MANOJ TIGGA,PRAKASH CHIK BARAIK,75447,Result Declared,S25,West Bengal,East India
Palakkad,8,PALAKKAD(8),V K SREEKANDAN,A VIJAYARAGHAVAN,75283,Result Declared,S11,Kerala,South India
GURGAON,9,GURGAON(9),RAO INDERJIT SINGH,RAJ BABBAR,75079,Result Declared,S07,Haryana,North India
MANDI,2,MANDI(2),KANGNA RANAUT,VIKRAMADITYA SINGH,74755,Result Declared,S08,Himachal Pradesh,North India
Thrissur,10,THRISSUR(10),SURESH GOPI,ADV V S SUNILKUMAR,74686,Result Declared,S11,Kerala,South India
Solapur,42,SOLAPUR(42),PRANITI SUSHILKUMAR SHINDE,RAM VITTHAL SATPUTE,74197,Result Declared,S13,Maharashtra,West India
Bangaon,14,BANGAON(14),SHANTANU THAKUR,BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS,73693,Result Declared,S25,West Bengal,East India
SIKAR,5,SIKAR(5),AMRARAM,SUMEDHANAND SARASWATI,72896,Result Declared,S20,Rajasthan,West India
CHURU,3,CHURU(3),RAHUL KASWAN,DEVENDRA JHAJHARIA,72737,Result Declared,S20,Rajasthan,West India
Kolar,28,KOLAR(28),M. MALLESH BABU,K V GOWTHAM,71388,Result Declared,S10,Karnataka,South India
Banda,48,BANDA(48),KRISHNA DEVI SHIVSHANKER PATEL,R. K. SINGH PATEL,71210,Result Declared,S24,Uttar Pradesh,North India
VILUPPURAM,13,VILUPPURAM(13),RAVIKUMAR. D,BHAGYARAJ. J,70703,Result Declared,S22,Tamil Nadu,South India
Dum dum,16,DUMDUM(16),SOUGATA RAY,SILBHADRA DATTA,70660,Result Declared,S25,West Bengal,East India
SALEM,15,SALEM(15),SELVAGANAPATHI T M,VIGNESH P,70357,Result Declared,S22,Tamil Nadu,South India
Mohanlalganj,34,MOHANLALGANJ(34),R.K. CHAUDHARY,KAUSHAL KISHORE,70292,Result Declared,S24,Uttar Pradesh,North India
GWALIOR,3,GWALIOR(3),BHARAT SINGH KUSHWAH,PRAVEEN PATHAK,70210,Result Declared,S12,Madhya Pradesh,Central India
Faridkot,9,FARIDKOT(9),SARABJEET SINGH KHALSA,KARAMJIT SINGH ANMOL,70053,Result Declared,S19,Punjab,North India
Kairana,2,KAIRANA(2),IQRA CHOUDHARY,PRADEEP KUMAR,69116,Result Declared,S24,Uttar Pradesh,North India
Bagalkot,3,BAGALKOT(3),GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,SAMYUKTA SHIVANAND PATIL,68399,Result Declared,S10,Karnataka,South India
MIZORAM,1,MIZORAM(1),RICHARD VANLALHMANGAIHA,K VANLALVENA,68288,Result Declared,S16,Mizoram,North-East India
Raiganj,5,RAIGANJ(5),KARTICK CHANDRA PAUL,KALYANI KRISHNA,68197,Result Declared,S25,West Bengal,East India
Nawada,39,NAWADA(39),VIVEK THAKUR,SHRAWAN KUMAR,67670,Result Declared,S04,Bihar,East India
Kendrapara,15,KENDRAPARA(15),BAIJAYANT PANDA,ANSHUMAN MOHANTY,66536,Result Declared,S18,Odisha,East India
Pratapgarh,39,PRATAPGARH(39),SHIV PAL SINGH PATEL (DR. S P SINGH),SANGAM LAL GUPTA,66206,Result Declared,S24,Uttar Pradesh,North India
Bhiwandi,23,BHIWANDI(23),BALYA MAMA - SURESH GOPINATH MHATRE,KAPIL MORESHWAR PATIL,66121,Result Declared,S13,Maharashtra,West India
Pathanamthitta,17,PATHANAMTHITTA(17),ANTO ANTONY,DR.T.M.THOMAS ISSAC,66119,Result Declared,S11,Kerala,South India
TONK-SAWAI MADHOPUR,12,TONK-SAWAIMADHOPUR(12),HARISH CHANDRA MEENA,SUKHBIR SINGH JAUNAPURIA,64949,Result Declared,S20,Rajasthan,West India
BHIND,2,BHIND(2),SANDHYA RAY,PHOOL SINGH BARAIYA,64840,Result Declared,S12,Madhya Pradesh,Central India
SURGUJA,1,SURGUJA(1),CHINTAMANI MAHARAJ,SHASHI SINGH KORAM,64822,Result Declared,S26,Chhattisgarh,Central India
Saharanpur,1,SAHARANPUR(1),IMRAN MASOOD,RAGHAV LAKHANPAL,64542,Result Declared,S24,Uttar Pradesh,North India
Barrackpur,15,BARRACKPUR(15),PARTHA BHOWMICK,ARJUN SINGH,64438,Result Declared,S25,West Bengal,East India
Baharaich,56,BAHARAICH(56),ANAND KUMAR,RAMESH CHANDRA,64227,Result Declared,S24,Uttar Pradesh,North India
Chalakudy,11,CHALAKUDY(11),BENNY BEHANAN,PROF C RAVEENDRANATH,63754,Result Declared,S11,Kerala,South India
Alappuzha,15,ALAPPUZHA(15),K. C VENUGOPAL,A. M ARIFF,63513,Result Declared,S11,Kerala,South India
HISAR,4,HISAR(4),JAI PARKASH (J P) S/O HARIKESH,RANJIT SINGH,63381,Result Declared,S07,Haryana,North India
Kadapa,21,KADAPA(21),Y. S. AVINASH REDDY,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,62695,Result Declared,S01,Andhra Pradesh,South India
Latur,41,LATUR(41),DR. KALGE SHIVAJI BANDAPPA,SUDHAKAR TUKARAM SHRANGARE,61881,Result Declared,S13,Maharashtra,West India
Ujiarpur,22,UJIARPUR(22),NITYANAND RAI,ALOK KUMAR MEHTA,60102,Result Declared,S04,Bihar,East India
JANJGIR-CHAMPA,3,JANJGIR-CHAMPA(3),KAMLESH JANGDE,DR. SHIVKUMAR DAHARIYA,60000,Result Declared,S26,Chhattisgarh,Central India
Arrah,32,ARRAH(32),SUDAMA PRASAD,R. K. SINGH,59808,Result Declared,S04,Bihar,East India
Kishanganj,10,KISHANGANJ(10),MOHAMMAD JAWED,MUJAHID ALAM,59692,Result Declared,S04,Bihar,East India
Asansol,40,ASANSOL(40),SHATRUGHAN PRASAD SINHA,SURENDRAJEET SINGH AHLUWALIA,59564,Result Declared,S25,West Bengal,East India
Nanded,16,NANDED(16),CHAVAN VASANTRAO BALWANTRAO,CHIKHALIKAR PRATAPRAO GOVINDRAO,59442,Result Declared,S13,Maharashtra,West India
Allahabad,52,ALLAHABAD(52),UJJWAL RAMAN SINGH,NEERAJ TRIPATHI,58795,Result Declared,S24,Uttar Pradesh,North India
Etawah,41,ETAWAH(41),JITENDRA KUMAR DOHARE,DR RAM SHANKAR KATHERIA,58419,Result Declared,S24,Uttar Pradesh,North India
Dadar & Nagar Haveli,2,DADAR&NAGARHAVELI(2),DELKAR KALABEN MOHANBHAI,AJIT RAMJIBHAI MAHALA,57584,Result Declared,U03,Dadra and Nagar Haveli and Daman and Diu,West India
Cuttack,14,CUTTACK(14),BHARTRUHARI MAHTAB,SANTRUPT MISRA,57077,Result Declared,S18,Odisha,East India
Krishnanagar,12,KRISHNANAGAR(12),MAHUA MOITRA,AMRITA ROY,56705,Result Declared,S25,West Bengal,East India
BIKANER,2,BIKANER(2),ARJUN RAM MEGHWAL,GOVINDRAM MEGHWAL,55711,Result Declared,S20,Rajasthan,West India
Shahjahanpur,27,SHAHJAHANPUR(27),ARUN KUMAR SAGAR,JYOTSNA GOND,55379,Result Declared,S24,Uttar Pradesh,North India
BASTAR,10,BASTAR(10),MAHESH KASHYAP,KAWASI LAKHMA,55245,Result Declared,S26,Chhattisgarh,Central India
Faizabad,54,FAIZABAD(54),AWADHESH PRASAD,LALLU SINGH,54567,Result Declared,S24,Uttar Pradesh,North India
Jalaun,45,JALAUN(45),NARAYAN DAS AHIRWAR,BHANU PRATAP SINGH VERMA,53898,Result Declared,S24,Uttar Pradesh,North India
KALLAKURICHI,14,KALLAKURICHI(14),MALAIYARASAN D,KUMARAGURU R,53784,Result Declared,S22,Tamil Nadu,South India
Mumbai South Central,30,MUMBAISOUTHCENTRAL(30),ANIL YESHWANT DESAI,RAHUL RAMESH SHEWALE,53384,Result Declared,S13,Maharashtra,West India
Mumbai South,31,MUMBAISOUTH(31),ARVIND GANPAT SAWANT,YAMINI YASHWANT JADHAV,52673,Result Declared,S13,Maharashtra,West India
MORENA,1,MORENA(1),SHIVMANGAL SINGH TOMAR,NEETU SATYAPAL SINGH SIKARWAR,52530,Result Declared,S12,Madhya Pradesh,Central India
BHARATPUR,9,BHARATPUR(9),SANJNA JATAV,RAMSWAROOP KOLI,51983,Result Declared,S20,Rajasthan,West India
Kokrajhar,1,KOKRAJHAR(1),JOYANTA BASUMATARY,KAMPA BORGOYARI,51583,Result Declared,S03,Assam,North-East India
Sitamarhi,5,SITAMARHI(5),DEVESH CHANDRA THAKUR,ARJUN RAY,51356,Result Declared,S04,Bihar,East India
Nagaland,1,NAGALAND(1),S SUPONGMEREN JAMIR,DR CHUMBEN MURRY,50984,Result Declared,S17,Nagaland,North-East India
Araku (ST),1,ARAKU(ST)(1),GUMMA THANUJA RANI,KOTHAPALLI GEETHA,50580,Result Declared,S01,Andhra Pradesh,South India
Shirdi,38,SHIRDI(38),BHAUSAHEB RAJARAM WAKCHAURE,LOKHANDE SADASHIV KISAN,50529,Result Declared,S13,Maharashtra,West India
Ongole,16,ONGOLE(16),MAGUNTA SREENIVASULU REDDY,DR CHEVIREDDY BHASKAR REDD,50199,Result Declared,S01,Andhra Pradesh,South India
Secunderabad,8,SECUNDERABAD(8),G. KISHAN REDDY,DANAM NAGENDER,49944,Result Declared,S29,Telangana,South India
Katihar,11,KATIHAR(11),TARIQ ANWAR,DULAL CHANDRA GOSWAMI,49863,Result Declared,S04,Bihar,East India
Bathinda,11,BATHINDA(11),HARSIMRAT KAUR BADAL,GURMEET SINGH KHUDIAN,49656,Result Declared,S19,Punjab,North India
AMBALA,1,AMBALA(1),VARUN CHAUDHRY,BANTO KATARIA,49036,Result Declared,S07,Haryana,North India
ALWAR,8,ALWAR(8),BHUPENDER YADAV,LALIT YADAV,48282,Result Declared,S20,Rajasthan,West India
Chitradurga,18,CHITRADURGA(18),GOVIND MAKTHAPPA KARJOL,B.N.CHANDRAPPA,48121,Result Declared,S10,Karnataka,South India
Ratnagiri- Sindhudurg,46,RATNAGIRI-SINDHUDURG(46),NARAYAN TATU RANE,VINAYAK BHAURAO RAUT,47858,Result Declared,S13,Maharashtra,West India
Kanthi,31,KANTHI(31),ADHIKARI SOUMENDU,UTTAM BARIK SON OF LATE BIRENDRA BARIK,47764,Result Declared,S25,West Bengal,East India
Koppal,8,KOPPAL(8),K. RAJASHEKAR BASAVARAJ HITNAL,DR . BASAVARAJ. K. SHARANAPPA,46357,Result Declared,S10,Karnataka,South India
Gonda,59,GONDA(59),KIRTIVARDHAN SINGH,SHREYA VERMA,46224,Result Declared,S24,Uttar Pradesh,North India
Zahirabad,5,ZAHIRABAD(5),SURESH KUMAR SHETKAR,B. B. PATIL,46188,Result Declared,S29,Telangana,South India
RAJNANDGAON,6,RAJNANDGAON(6),SANTOSH PANDEY,BHUPESH BAGHEL,44411,Result Declared,S26,Chhattisgarh,Central India
Akbarpur,44,AKBARPUR(44),DEVENDRA SINGH ALIAS BHOLE SINGH,RAJARAM PAL,44345,Result Declared,S24,Uttar Pradesh,North India
Hoshiarpur,5,HOSHIARPUR(5),DR. RAJ KUMAR CHABBEWAL,YAMINI GOMAR,44111,Result Declared,S19,Punjab,North India
Bhadohi,78,BHADOHI(78),DR. VINOD KUMAR BIND,LALITESHPATI TRIPATHI,44072,Result Declared,S24,Uttar Pradesh,North India
Haveri,10,HAVERI(10),BASAVARAJ BOMMAI,ANANDSWAMY GADDADEVARMATH,43513,Result Declared,S10,Karnataka,South India
Fatehpur Sikri,19,FATEHPURSIKRI(19),RAJKUMAR CHAHAR,RAMNATH SINGH SIKARWAR,43405,Result Declared,S24,Uttar Pradesh,North India
Ballia,72,BALLIA(72),SANATAN PANDEY,NEERAJ SHEKHAR,43384,Result Declared,S24,Uttar Pradesh,North India
KORBA,4,KORBA(4),JYOTSNA CHARANDAS MAHANT,SAROJ PANDEY,43283,Result Declared,S26,Chhattisgarh,Central India
Sultanpur,38,SULTANPUR(38),RAMBHUAL NISHAD,MANEKA SANJAY GANDHI,43174,Result Declared,S24,Uttar Pradesh,North India
Domariyaganj,60,DOMARIYAGANJ(60),JAGDAMBIKA PAL,BHISHMA SHANKAR ALIAS KUSHAL TIWARI,42728,Result Declared,S24,Uttar Pradesh,North India
Hassan,16,HASSAN(16),SHREYAS. M. PATEL,PRAJWAL REVANNA,42649,Result Declared,S10,Karnataka,South India
NAGAUR,14,NAGAUR(14),HANUMAN BENIWAL,JYOTI MIRDHA,42225,Result Declared,S20,Rajasthan,West India
KOTA,24,KOTA(24),OM BIRLA,PRAHLAD GUNJAL,41974,Result Declared,S20,Rajasthan,West India
BHIWANI-MAHENDRAGARH,8,BHIWANI-MAHENDRAGARH(8),DHARAMBIR SINGH,RAO DAN SINGH,41510,Result Declared,S07,Haryana,North India
Jagatsinghpur,16,JAGATSINGHPUR(16),BIBHU PRASAD TARAI,DR. RAJASHREE MALLICK,40696,Result Declared,S18,Odisha,East India
Akola,6,AKOLA(6),ANUP SANJAY DHOTRE,ABHAY KASHINATH PATIL,40626,Result Declared,S13,Maharashtra,West India
Amritsar,2,AMRITSAR(2),GURJEET SINGH AUJLA,KULDEEP SINGH DHALIWAL,40301,Result Declared,S19,Punjab,North India
Coochbehar,1,COOCHBEHAR(1),JAGADISH CHANDRA BARMA BASUNIA,NISITH PRAMANIK,39250,Result Declared,S25,West Bengal,East India
Medak,6,MEDAK(6),MADHAVANENI RAGHUNANDAN RAO,NEELAM MADHU,39139,Result Declared,S29,Telangana,South India
Mirzapur,79,MIRZAPUR(79),ANUPRIYA PATEL,RAMESH CHAND BIND,37810,Result Declared,S24,Uttar Pradesh,North India
Bijnor,4,BIJNOR(4),CHANDAN CHAUHAN,DEEPAK,37508,Result Declared,S24,Uttar Pradesh,North India
Bhandara Gondiya,11,BHANDARAGONDIYA(11),DR. PRASHANT YADAORAO PADOLE,SUNIL BABURAO MENDHE,37380,Result Declared,S13,Maharashtra,West India
Machhlishahr,74,MACHHLISHAHR(74),PRIYA SAROJ,BHOLANATH (B.P. SAROJ),35850,Result Declared,S24,Uttar Pradesh,North India
Unnao,33,UNNAO(33),SWAMI SACHCHIDANAND HARI SAKSHI,ANNU TANDON,35818,Result Declared,S24,Uttar Pradesh,North India
Maharajganj,63,MAHARAJGANJ(63),PANKAJ CHAUDHARY,VIRENDRA CHAUDHARY,35451,Result Declared,S24,Bihar,East India
Bhubaneswar,18,BHUBANESWAR(18),APARAJITA SARANGI,MANMATH KUMAR ROUTRAY,35152,Result Declared,S18,Odisha,East India
Badaun,23,BADAUN(23),ADITYA YADAV,DURVIJAY SINGH SHAKYA,34991,Result Declared,S24,Uttar Pradesh,North India
Deoria,66,DEORIA(66),SHASHANK MANI,AKHILESH PRATAP SINGH,34842,Result Declared,S24,Uttar Pradesh,North India
Bareilly,25,BAREILLY(25),CHHATRA PAL SINGH GANGWAR,PRAVEEN SINGH ARON,34804,Result Declared,S24,Uttar Pradesh,North India
Kheri,28,KHERI(28),UTKARSH VERMA 'MADHUR',AJAY KUMAR,34329,Result Declared,S24,Uttar Pradesh,North India
Fatehgarh Sahib,8,FATEHGARHSAHIB(8),AMAR SINGH,GURPREET SINGH GP,34202,Result Declared,S19,Punjab,North India
Misrikh,32,MISRIKH(32),ASHOK KUMAR RAWAT,SANGITA RAJVANSHI,33406,Result Declared,S24,Uttar Pradesh,North India
Fatehpur,49,FATEHPUR(49),NARESH CHANDRA UTTAM PATEL,NIRANJAN JYOTI,33199,Result Declared,S24,Uttar Pradesh,North India
Bankura,36,BANKURA(36),ARUP CHAKRABORTY,DR. SUBHAS SARKAR,32778,Result Declared,S25,West Bengal,East India
Satara,45,SATARA(45),SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,SHASHIKANT JAYVANTRAO SHINDE,32771,Result Declared,S13,Maharashtra,West India
Bangalore central,25,BANGALORECENTRAL(25),P C MOHAN,MANSOOR ALI KHAN,32707,Result Declared,S10,Karnataka,South India
Patan,3,PATAN(3),DABHI  BHARATSINHJI  SHANKARJI,CHANDANJI TALAJI THAKOR,31876,Result Declared,S06,Gujarat,West India
Arunachal East,2,ARUNACHALEAST(2),TAPIR GAO,BOSIRAM SIRAM,30421,Result Declared,S02,Arunachal Pradesh,North-East India
Banaskantha,2,BANASKANTHA(2),GENIBEN NAGAJI THAKOR,DR. REKHABEN HITESHBHAI CHAUDHARI,30406,Result Declared,S06,Gujarat,West India
Buxar,33,BUXAR(33),SUDHAKAR SINGH,MITHILESH TIWARI,30091,Result Declared,S04,Bihar,East India
Mumbai North East,28,MUMBAINORTHEAST(28),SANJAY DINA PATIL,MIHIR CHANDRAKANT KOTECHA,29861,Result Declared,S13,Maharashtra,West India
Buldhana,5,BULDHANA(5),JADHAV PRATAPRAO GANPATRAO,NARENDRA DAGDU KHEDEKAR,29479,Result Declared,S13,Maharashtra,West India
Sheohar,4,SHEOHAR(4),LOVELY ANAND,RITU JAISWAL,29143,Result Declared,S04,Bihar,East India
NAMAKKAL,16,NAMAKKAL(16),MATHESWARAN V S,TAMILMANI S,29112,Result Declared,S22,Tamil Nadu,South India
KURUKSHETRA,2,KURUKSHETRA(2),NAVEEN JINDAL,DR SUSHIL GUPTA,29021,Result Declared,S07,Haryana,North India
Ahmednagar,37,AHMEDNAGAR(37),NILESH DNYANDEV LANKE,DR. SUJAY RADHAKRISHNA VIKHEPATIL,28929,Result Declared,S13,Maharashtra,West India
Amroha,9,AMROHA(9),KANWAR SINGH TANWAR,KUNWAR DANISH ALI,28670,Result Declared,S24,Uttar Pradesh,North India
Etah,22,ETAH(22),DEVESH SHAKYA,RAJVEER SINGH (RAJU BHAIYA),28052,Result Declared,S24,Uttar Pradesh,North India
Ladakh,1,LADAKH(1),MOHMAD HANEEFA,TSERING NAMGYAL,27862,Result Declared,U09,Ladakh,North India
Hardoi,31,HARDOI(31),JAI PRAKASH,USHA VERMA,27856,Result Declared,S24,Uttar Pradesh,North India
Gulbarga,5,GULBARGA(5),RADHAKRISHNA,DR. UMESH G JADHAV,27205,Result Declared,S10,Karnataka,South India
Medinipur,34,MEDINIPUR(34),JUNE MALIAH,AGNIMITRA PAUL,27191,Result Declared,S25,West Bengal,East India
Davanagere,13,DAVANAGERE(13),DR. PRABHA MALLIKARJUN,GAYITHRI SIDDESHWARA,26094,Result Declared,S10,Karnataka,South India
Muzaffarnagar,3,MUZAFFARNAGAR(3),HARENDRA SINGH MALIK,SANJEEV KUMAR BALYAN,24672,Result Declared,S24,Uttar Pradesh,North India
Andaman & Nicobar Islands,1,ANDAMAN&NICOBARISLANDS(1),BISHNU PADA RAY,KULDEEP RAI SHARMA,24396,Result Declared,U01,Andaman and Nicobar Islands,South India
Purnia,12,PURNIA(12),RAJESH RANJAN ALIAS PAPPU YADAV,SANTOSH KUMAR,23847,Result Declared,S04,Bihar,East India
Dumka,2,DUMKA(2),NALIN SOREN,SITA MURMU,22527,Result Declared,S27,Jharkhand,East India
SONIPAT,6,SONIPAT(6),SATPAL BRAHAMCHARI,MOHAN LAL BADOLI,21816,Result Declared,S07,Haryana,North India
Chandauli,76,CHANDAULI(76),BIRENDRA SINGH,DR. MAHENDRA NATH  PANDEY,21565,Result Declared,S24,Uttar Pradesh,North India
Kandhamal,13,KANDHAMAL(13),SUKANTA KUMAR PANIGRAHI,ACHYUTANANDA SAMANTA,21371,Result Declared,S18,Odisha,East India
DHARMAPURI,10,DHARMAPURI(10),MANI. A.,SOWMIYA ANBUMANI,21300,Result Declared,S22,Tamil Nadu,South India
Kanpur,43,KANPUR(43),RAMESH AWASTHI,ALOK MISRA,20968,Result Declared,S24,Uttar Pradesh,North India
Ludhiana,7,LUDHIANA(7),AMRINDER SINGH RAJA WARRING,RAVNEET SINGH BITTU,20942,Result Declared,S19,Punjab,North India
Alathur,9,ALATHUR(9),K.RADHAKRISHNAN,RAMYA HARIDAS,20111,Result Declared,S11,Kerala,South India
Araria,9,ARARIA(9),PRADEEP KUMAR SINGH,SHAHNAWAZ,20094,Result Declared,S04,Bihar,East India
Amravati,7,AMRAVATI(7),BALWANT BASWANT WANKHADE,NAVNEET RAVI RANA,19731,Result Declared,S13,Maharashtra,West India
Sasaram,34,SASARAM(34),MANOJ KUMAR,SHIVESH KUMAR,19157,Result Declared,S04,Bihar,East India
Karimganj,7,KARIMGANJ(7),KRIPANATH MALLAH,HAFIZ RASHID AHMED CHOUDHURY,18360,Result Declared,S03,Assam,North-East India
JHUNJHUNU,4,JHUNJHUNU(4),BRIJENDRA SINGH OLA,SHUBHKARAN CHOUDHARY,18235,Result Declared,S20,Rajasthan,West India
Purulia,35,PURULIA(35),JYOTIRMAY SINGH MAHATO,SHANTIRAM MAHATO,17079,Result Declared,S25,West Bengal,East India
Mumbai North Central,29,MUMBAINORTHCENTRAL(29),GAIKWAD VARSHA EKNATH,ADV UJWAL NIKAM,16514,Result Declared,S13,Maharashtra,West India
Thiruvananthapuram,20,THIRUVANANTHAPURAM(20),SHASHI THAROOR,RAJEEV CHANDRASEKHAR,16077,Result Declared,S11,Kerala,South India
Aonla,24,AONLA(24),NEERAJ MAURYA,DHARMENDRA KASHYAP,15969,Result Declared,S24,Uttar Pradesh,North India
Aligarh,15,ALIGARH(15),SATISH KUMAR GAUTAM,BIJENDRA SINGH,15647,Result Declared,S24,Uttar Pradesh,North India
Patiala,13,PATIALA(13),DR DHARAMVIRA GANDHI,DR BALBIR SINGH,14831,Result Declared,S19,Punjab,North India
Thirupathi(SC),23,THIRUPATHI(SC)(23),GURUMOORTHY MADDILA,VARA PRASAD RAO VELAGAPALLI,14569,Result Declared,S01,Andhra Pradesh,South India
Saran,20,SARAN(20),RAJIV PRATAP RUDY,ROHINI ACHARYA,13661,Result Declared,S04,Bihar,East India
South Goa,2,SOUTHGOA(2),CAPTAIN  VIRIATO FERNANDES,PALLAVI SHRINIVAS DEMPO,13535,Result Declared,S05,Goa,West India
Hatkanangale,48,HATKANANGALE(48),DHAIRYASHEEL SAMBHAJIRAO MANE,SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR,13426,Result Declared,S13,Maharashtra,West India
Mavelikkara,16,MAVELIKKARA(16),KODIKUNNIL SURESH,ADV ARUN KUMAR C A,10868,Result Declared,S11,Kerala,South India
Anandpur Sahib,6,ANANDPURSAHIB(6),MALVINDER SINGH KANG,VIJAY INDER SINGLA,10846,Result Declared,S19,Punjab,North India
Meerut,10,MEERUT(10),ARUN GOVIL,SUNITA VERMA,10585,Result Declared,S24,Uttar Pradesh,North India
Balurghat,6,BALURGHAT(6),SUKANTA MAJUMDAR,BIPLAB MITRA,10386,Result Declared,S25,West Bengal,East India
Beed,39,BEED(39),BAJRANG MANOHAR SONWANE,PANKAJA GOPINATHRAO MUNDE,6553,Result Declared,S13,Maharashtra,West India
Arambagh,29,ARAMBAGH(29),BAG MITALI,ARUP KANTI DIGAR,6399,Result Declared,S25,West Bengal,East India
Daman & Diu,1,DAMAN&DIU(1),PATEL UMESHBHAI BABUBHAI,LALUBHAI BABUBHAI PATEL,6225,Result Declared,U03,Dadra and Nagar Haveli and Daman and Diu,West India
Bishnupur,37,BISHNUPUR(37),KHAN SAUMITRA,SUJATA MONDAL,5567,Result Declared,S25,West Bengal,East India
Mahbubnagar,11,MAHBUBNAGAR(11),ARUNA. D. K,CHALLA VAMSHI CHAND REDDY,4500,Result Declared,S29,Telangana,South India
Dhaurahra,29,DHAURAHRA(29),ANAND BHADAURIYA,REKHA VERMA,4449,Result Declared,S24,Uttar Pradesh,North India
VIRUDHUNAGAR,34,VIRUDHUNAGAR(34),MANICKAM TAGORE B,VIJAYAPRABHAKARAN V,4379,Result Declared,S22,Tamil Nadu,South India
Phulpur,51,PHULPUR(51),PRAVEEN PATEL,AMAR NATH SINGH MAURYA,4332,Result Declared,S24,Uttar Pradesh,North India
Dhule,2,DHULE(2),BACHHAV SHOBHA DINESH,BHAMRE SUBHASH RAMRAO,3831,Result Declared,S13,Maharashtra,West India
Salempur,71,SALEMPUR(71),RAMASHANKAR RAJBHAR,RAVINDAR KUSHAWAHA,3573,Result Declared,S24,Uttar Pradesh,North India
Firozpur,10,FIROZPUR(10),SHER SINGH GHUBAYA,JAGDEEP SINGH KAKA BRAR,3242,Result Declared,S19,Punjab,North India
Bansgaon,67,BANSGAON(67),KAMLESH PASWAN,SADAL PRASAD,3150,Result Declared,S24,Uttar Pradesh,North India
Farrukhabad,40,FARRUKHABAD(40),MUKESH RAJPUT,DR. NAVAL KISHOR SHAKYA,2678,Result Declared,S24,Uttar Pradesh,North India
Lakshadweep,1,LAKSHADWEEP(1),MUHAMMED HAMDULLAH SAYEED,MOHAMMED FAIZAL PP,2647,Result Declared,U06,Lakshadweep,South India
Hamirpur,47,HAMIRPUR(47),AJENDRA SINGH LODHI,KUNWAR PUSHPENDRA SINGH CHANDEL,2629,Result Declared,S24,Uttar Pradesh,North India
Chandigarh,1,CHANDIGARH(1),MANISH TEWARI,SANJAY TANDON,2504,Result Declared,U02,Chandigarh,North India
KANKER,11,KANKER(11),BHOJRAJ NAG,BIRESH THAKUR,1884,Result Declared,S26,Chhattisgarh,Central India
JAIPUR RURAL,6,JAIPURRURAL(6),RAO RAJENDRA SINGH,ANIL CHOPRA,1615,Result Declared,S20,Rajasthan,West India
Jajpur,8,JAJPUR(8),RABINDRA NARAYAN BEHERA,SARMISTHA SETHI,1587,Result Declared,S18,Odisha,East India
Attingal,19,ATTINGAL(19),ADV ADOOR PRAKASH,V JOY,684,Result Declared,S11,Kerala,South India
Mumbai North West,27,MUMBAINORTHWEST(27),RAVINDRA DATTARAM WAIKAR,AMOL GAJANAN KIRTIKAR,48,Result Declared,S13,Maharashtra,West India
